# Task: bending2,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,32.5,0.5,0,0,19,1
1,32.5,0.5,0,0,19,1
2,32.5,0.5,0,0,19,1
3,32.5,0.5,0,0,19,1
4,32.5,0.5,0,0,19,1
5,32.5,0.5,0,0,19,1
6,32.5,0.5,0,0,19,1
7,32.5,0.5,0,0,19,1
8,32.5,0.5,0,0,19,1
9,32.5,0.5,0,0,19,1
10,32.5,0.5,0,0,19,1
11,32.5,0.5,0,0,19,1
12,32.5,0.5,0,0,19,1
13,32.5,0.5,0,0,19,1
14,32.5,0.5,0,0,19,1
15,32.5,0.5,0,0,19,1
16,32.5,0.5,0,0,19,1
17,32.5,0.5,0,0,19,1
18,32.5,0.5,0,0,19,1
19,32.5,0.5,0,0,19,1
20,32.5,0.5,0,0,19,1
21,32.5,0.5,0,0,19,1
22,32.5,0.5,0,0,19,1
23,32.5,0.5,0,0,19,1
24,32.5,0.5,0,0,19,1
25,32.5,0.5,0,0,19,1
26,32.5,0.5,0,0,19,1
27,32.5,0.5,0,0,19,1
28,32.5,0.5,0,0,19,1
29,32.5,0.5,0,0,19,1
30,32.5,0.5,0,0,19,1
31,32.5,0.5,0,0,19,1
32,32.5,0.5,0,0,19,1
33,32.5,0.5,0,0,19,1
34,32.5,0.5,0,0,19,1
35,32.5,0.5,0,0,19,1
36,32.5,0.5,0,0,19,1
37,32.5,0.5,0,0,19,1
38,32.5,0.5,0,0,19,1
39,32.5,0.5,0,0,19,1
40,32.5,0.5,0,0,19,1
41,32.5,0.5,0,0,19,1
42,32.5,0.5,0,0,19,1
43,32.5,0.5,0,0,19,1
44,32.5,0.5,0,0,19,1
45,32.5,0.5,0,0,19,1
46,32.5,0.5,0,0,19,1
47,32.5,0.5,0,0,19,1
48,32.5,0.5,0,0,19,1
49,32.5,0.5,0,0,19,1
50,32.5,0.5,0,0,19,1
51,32.5,0.5,0,0,19,1
52,32.5,0.5,0,0,19,1
53,32.5,0.5,0,0,19,1
54,32.5,0.5,0,0,19,1
55,32.5,0.5,0,0,19,1
56,32.5,0.5,0,0,19,1
57,32.5,0.5,0,0,19,1
58,32.5,0.5,0,0,19,1
59,32.5,0.5,0,0,19,1
60,32.5,0.5,0,0,19,1
61,32.5,0.5,0,0,19,1
62,32.5,0.5,0,0,19,1
63,32.5,0.5,0,0,19,1
64,32.5,0.5,0,0,19,1
65,32.5,0.5,0,0,19,1
66,32.5,0.5,0,0,19,1
67,32.5,0.5,0,0,19,1
68,32.5,0.5,0,0,19,1
69,32.5,0.5,0,0,19,1
70,32.5,0.5,0,0,19,1
71,32.5,0.5,0,0,19,1
72,32.5,0.5,0,0,19,1
73,32.5,0.5,0,0,19,1
74,32.5,0.5,0,0,19,1
75,32.5,0.5,0,0,19,1
76,32.5,0.5,0,0,19,1
77,32.5,0.5,0,0,19,1
78,32.5,0.5,0,0,19,1
79,32.5,0.5,0,0,19,1
80,32.5,0.5,0,0,19,1
81,32.5,0.5,0,0,19,1
82,32.5,0.5,0,0,19,1
83,32.5,0.5,0,0,19,1
84,32.5,0.5,0,0,19,1
85,32.5,0.5,0,0,19,1
86,32.5,0.5,0,0,19,1
87,32.5,0.5,0,0,19,1
88,32.5,0.5,0,0,19,1
89,32.5,0.5,0,0,19,1
90,32.5,0.5,0,0,19,1
91,32.5,0.5,0,0,19,1
92,32.5,0.5,0,0,19,1
93,32.5,0.5,0,0,19,1
94,32.5,0.5,0,0,19,1
95,32.5,0.5,0,0,19,1
96,32.5,0.5,0,0,19,1
97,32.5,0.5,0,0,19,1
98,32.5,0.5,0,0,19,1
99,32.5,0.5,0,0,19,1
100,32.5,0.5,0,0,19,1
101,32.5,0.5,0,0,19,1
102,32.5,0.5,0,0,19,1
103,32.5,0.5,0,0,19,1
104,32.5,0.5,0,0,19,1
105,32.5,0.5,0,0,19,1
106,32.5,0.5,0,0,19,1
107,32.5,0.5,0,0,19,1
108,32.5,0.5,0,0,19,1
109,32.5,0.5,0,0,19,1
110,32.5,0.5,0,0,19,1
111,32.5,0.5,0,0,19,1
112,32.5,0.5,0,0,19,1
113,32.5,0.5,0,0,19,1
114,32.5,0.5,0,0,19,1
115,32.5,0.5,0,0,19,1
116,32.5,0.5,0,0,19,1
117,32.5,0.5,0,0,19,1
118,32.5,0.5,0,0,19,1
119,32.5,0.5,0,0,19,1
120,32.5,0.5,0,0,19,1
121,32.5,0.5,0,0,19,1
122,32.5,0.5,0,0,19,1
123,32.5,0.5,0,0,19,1
124,32.5,0.5,0,0,19,1
125,32.5,0.5,0,0,19,1
126,32.5,0.5,0,0,19,1
127,32.5,0.5,0,0,19,1
128,32.5,0.5,0,0,19,1
129,32.5,0.5,0,0,19,1
130,32.5,0.5,0,0,19,1
131,32.5,0.5,0,0,19,1
132,32.5,0.5,0,0,19,1
133,32.5,0.5,0,0,19,1
134,32.5,0.5,0,0,19,1
135,32.5,0.5,0,0,19,1
136,32.5,0.5,0,0,19,1
137,32.5,0.5,0,0,19,1
138,32.5,0.5,0,0,19,1
139,32.5,0.5,0,0,19,1
140,32.5,0.5,0,0,19,1
141,32.5,0.5,0,0,19,1
142,32.5,0.5,0,0,19,1
143,32.5,0.5,0,0,19,1
144,32.5,0.5,0,0,19,1
145,32.5,0.5,0,0,19,1
146,32.5,0.5,0,0,19,1
147,32.5,0.5,0,0,19,1
148,32.5,0.5,0,0,19,1
149,32.5,0.5,0,0,19,1
150,32.5,0.5,0,0,19,1
151,32.5,0.5,0,0,19,1
152,32.5,0.5,0,0,19,1
153,32.5,0.5,0,0,19,1
154,32.5,0.5,0,0,19,1
155,32.5,0.5,0,0,19,1
156,32.5,0.5,0,0,19,1
157,32.5,0.5,0,0,19,1
158,32.5,0.5,0,0,19,1
159,32.5,0.5,0,0,19,1
160,32.5,0.5,0,0,19,1
161,32.5,0.5,0,0,19,1
162,32.5,0.5,0,0,19,1
163,32.5,0.5,0,0,19,1
164,32.5,0.5,0,0,19,1
165,32.5,0.5,0,0,19,1
166,32.5,0.5,0,0,19,1
167,32.5,0.5,0,0,19,1
168,32.5,0.5,0,0,19,1
169,32.5,0.5,0,0,19,1
170,32.5,0.5,0,0,19,1
171,32.5,0.5,0,0,19,1
172,32.5,0.5,0,0,19,1
173,32.5,0.5,0,0,19,1
174,32.5,0.5,0,0,19,1
175,32.5,0.5,0,0,19,1
176,32.5,0.5,0,0,19,1
177,32.5,0.5,0,0,19,1
178,32.5,0.5,0,0,19,1
179,32.5,0.5,0,0,19,1
180,32.5,0.5,0,0,19,1
181,32.5,0.5,0,0,19,1
182,32.5,0.5,0,0,19,1
183,32.5,0.5,0,0,19,1
184,32.5,0.5,0,0,19,1
185,32.5,0.5,0,0,19,1
186,32.5,0.5,0,0,19,1
187,32.5,0.5,0,0,19,1
188,32.5,0.5,0,0,19,1
189,32.5,0.5,0,0,19,1
190,32.5,0.5,0,0,19,1
191,32.5,0.5,0,0,19,1
192,32.5,0.5,0,0,19,1
193,32.5,0.5,0,0,19,1
194,32.5,0.5,0,0,19,1
195,32.5,0.5,0,0,19,1
196,32.5,0.5,0,0,19,1
197,32.5,0.5,0,0,19,1
198,32.5,0.5,0,0,19,1
199,32.5,0.5,0,0,19,1
200,32.5,0.5,0,0,19,1
201,32.5,0.5,0,0,19,1
202,32.5,0.5,0,0,19,1
203,32.5,0.5,0,0,19,1
204,32.5,0.5,0,0,19,1
205,32.5,0.5,0,0,19,1
206,32.5,0.5,0,0,19,1
207,32.5,0.5,0,0,19,1
208,32.5,0.5,0,0,19,1
209,32.5,0.5,0,0,19,1
210,32.5,0.5,0,0,19,1
211,32.5,0.5,0,0,19,1
212,32.5,0.5,0,0,19,1
213,32.5,0.5,0,0,19,1
214,32.5,0.5,0,0,19,1
215,32.5,0.5,0,0,19,1
216,32.5,0.5,0,0,19,1
217,32.5,0.5,0,0,19,1
218,32.5,0.5,0,0,19,1
219,32.5,0.5,0,0,19,1
220,32.5,0.5,0,0,19,1
221,32.5,0.5,0,0,19,1
222,32.5,0.5,0,0,19,1
223,32.5,0.5,0,0,19,1
224,32.5,0.5,0,0,19,1
225,32.5,0.5,0,0,19,1
226,32.5,0.5,0,0,19,1
227,32.5,0.5,0,0,19,1
228,32.5,0.5,0,0,19,1
229,32.5,0.5,0,0,19,1
230,32.5,0.5,0,0,19,1
231,32.5,0.5,0,0,19,1
232,32.5,0.5,0,0,19,1
233,32.5,0.5,0,0,19,1
234,32.5,0.5,0,0,19,1
235,32.5,0.5,0,0,19,1
236,32.5,0.5,0,0,19,1
237,32.5,0.5,0,0,19,1
238,32.5,0.5,0,0,19,1
239,32.5,0.5,0,0,19,1
240,32.5,0.5,0,0,19,1
241,32.5,0.5,0,0,19,1
242,32.5,0.5,0,0,19,1
243,32.5,0.5,0,0,19,1
244,32.5,0.5,0,0,19,1
245,32.5,0.5,0,0,19,1
246,32.5,0.5,0,0,19,1
247,32.5,0.5,0,0,19,1
248,32.5,0.5,0,0,19,1
249,32.5,0.5,0,0,19,1
250,32.5,0.5,0,0,19,1
251,32.5,0.5,0,0,19,1
252,32.5,0.5,0,0,19,1
253,32.5,0.5,0,0,19,1
254,32.5,0.5,0,0,19,1
255,32.5,0.5,0,0,19,1
256,32.5,0.5,0,0,19,1
257,32.5,0.5,0,0,19,1
258,32.5,0.5,0,0,19,1
259,32.5,0.5,0,0,19,1
260,32.5,0.5,0,0,19,1
261,32.5,0.5,0,0,19,1
262,32.5,0.5,0,0,19,1
263,32.5,0.5,0,0,19,1
264,32.5,0.5,0,0,19,1
265,32.5,0.5,0,0,19,1
266,32.5,0.5,0,0,19,1
267,32.5,0.5,0,0,19,1
268,32.5,0.5,0,0,19,1
269,32.5,0.5,0,0,19,1
270,32.5,0.5,0,0,19,1
271,32.5,0.5,0,0,19,1
272,32.5,0.5,0,0,19,1
273,32.5,0.5,0,0,19,1
274,32.5,0.5,0,0,19,1
275,32.5,0.5,0,0,19,1
276,32.5,0.5,0,0,19,1
277,32.5,0.5,0,0,19,1
278,32.5,0.5,0,0,19,1
279,32.5,0.5,0,0,19,1
280,32.5,0.5,0,0,19,1
281,32.5,0.5,0,0,19,1
282,32.5,0.5,0,0,19,1
283,32.5,0.5,0,0,19,1
284,32.5,0.5,0,0,19,1
285,32.5,0.5,0,0,19,1
286,32.5,0.5,0,0,19,1
287,32.5,0.5,0,0,19,1
288,32.5,0.5,0,0,19,1
289,32.5,0.5,0,0,19,1
290,32.5,0.5,0,0,19,1
291,32.5,0.5,0,0,19,1
292,32.5,0.5,0,0,19,1
293,32.5,0.5,0,0,19,1
294,32.5,0.5,0,0,19,1
